T,X,Y
0.779000,10.014631,8.954596
0.780000,10.027487,8.962265
0.781000,10.040342,8.969925
0.782000,10.053198,8.977574
0.783000,10.066054,8.985214
0.784000,10.078910,8.992844
0.785000,10.091765,9.000464
0.786000,10.104621,9.008074
0.787000,10.117477,9.015674
0.788000,10.130333,9.023265
0.789000,10.143188,9.030846
0.790000,10.156044,9.038417
0.791000,10.168900,9.045978
0.792000,10.181756,9.053529
0.793000,10.194611,9.061071
0.794000,10.207467,9.068603
0.795000,10.220323,9.076125
0.796000,10.233179,9.083637
0.797000,10.246034,9.091139
0.798000,10.258890,9.098632
0.799000,10.271746,9.106114
0.800000,10.284602,9.113587
0.801000,10.297458,9.121050
0.802000,10.310313,9.128503
0.803000,10.323169,9.135947
0.804000,10.336025,9.143381
0.805000,10.348881,9.150804
0.806000,10.361736,9.158218
0.807000,10.374592,9.165623
0.808000,10.387448,9.173017
0.809000,10.400304,9.180402
0.810000,10.413159,9.187776
0.811000,10.426015,9.195141
0.812000,10.438871,9.202497
0.813000,10.451727,9.209842
0.814000,10.464582,9.217177
0.815000,10.477438,9.224503
0.816000,10.490294,9.231819
0.817000,10.503150,9.239125
0.818000,10.516005,9.246422
0.819000,10.528861,9.253708
0.820000,10.541717,9.260985
0.821000,10.554573,9.268252
0.822000,10.567428,9.275509
0.823000,10.580284,9.282756
0.824000,10.593140,9.289993
0.825000,10.605996,9.297221
0.826000,10.618851,9.304439
0.827000,10.631707,9.311647
0.828000,10.644563,9.318845
0.829000,10.657419,9.326034
0.830000,10.670274,9.333212
0.831000,10.683130,9.340381
0.832000,10.695986,9.347540
0.833000,10.708842,9.354689
0.834000,10.721697,9.361828
0.835000,10.734553,9.368958
0.836000,10.747409,9.376078
0.837000,10.760265,9.383188
0.838000,10.773120,9.390288
0.839000,10.785976,9.397378
0.840000,10.798832,9.404458
0.841000,10.811688,9.411529
0.842000,10.824543,9.418590
0.843000,10.837399,9.425641
0.844000,10.850255,9.432682
0.845000,10.863111,9.439714
0.846000,10.875966,9.446735
0.847000,10.888822,9.453747
0.848000,10.901678,9.460749
0.849000,10.914534,9.467741
0.850000,10.927389,9.474724
0.851000,10.940245,9.481696
0.852000,10.953101,9.488659
0.853000,10.965957,9.495612
0.854000,10.978812,9.502555
0.855000,10.991668,9.509489
0.856000,11.004524,9.516412
0.857000,11.017380,9.523326
0.858000,11.030235,9.530230
0.859000,11.043091,9.537124
0.860000,11.055947,9.544008
0.861000,11.068803,9.550883
0.862000,11.081658,9.557747
0.863000,11.094514,9.564602
0.864000,11.107370,9.571447
0.865000,11.120226,9.578282
0.866000,11.133081,9.585108
0.867000,11.145937,9.591923
0.868000,11.158793,9.598729
0.869000,11.171649,9.605525
0.870000,11.184504,9.612311
0.871000,11.197360,9.619088
0.872000,11.210216,9.625854
0.873000,11.223072,9.632611
0.874000,11.235927,9.639358
0.875000,11.248783,9.646095
0.876000,11.261639,9.652823
0.877000,11.274495,9.659540
0.878000,11.287350,9.666248
0.879000,11.300206,9.672946
0.880000,11.313062,9.679634
0.881000,11.325918,9.686312
0.882000,11.338773,9.692981
0.883000,11.351629,9.699639
0.884000,11.364485,9.706288
0.885000,11.377341,9.712927
0.886000,11.390196,9.719556
0.887000,11.403052,9.726176
0.888000,11.415908,9.732785
0.889000,11.428764,9.739385
0.890000,11.441619,9.745975
0.891000,11.454475,9.752555
0.892000,11.467331,9.759126
0.893000,11.480187,9.765686
0.894000,11.493042,9.772237
0.895000,11.505898,9.778778
0.896000,11.518754,9.785309
0.897000,11.531610,9.791830
0.898000,11.544465,9.798342
0.899000,11.557321,9.804844
0.900000,11.570177,9.811335
0.901000,11.583033,9.817818
0.902000,11.595888,9.824290
0.903000,11.608744,9.830752
0.904000,11.621600,9.837205
0.905000,11.634456,9.843648
0.906000,11.647311,9.850081
0.907000,11.660167,9.856504
0.908000,11.673023,9.862917
0.909000,11.685879,9.869321
0.910000,11.698734,9.875715
0.911000,11.711590,9.882099
0.912000,11.724446,9.888473
0.913000,11.737302,9.894837
0.914000,11.750158,9.901192
0.915000,11.763013,9.907537
0.916000,11.775869,9.913872
0.917000,11.788725,9.920197
0.918000,11.801581,9.926512
0.919000,11.814436,9.932817
0.920000,11.827292,9.939113
0.921000,11.840148,9.945399
0.922000,11.853004,9.951675
0.923000,11.865859,9.957941
0.924000,11.878715,9.964198
0.925000,11.891571,9.970444
0.926000,11.904427,9.976681
0.927000,11.917282,9.982908
0.928000,11.930138,9.989126
0.929000,11.942994,9.995333
